Tier_1_Firms,Tier_2_Firms,Tier_3_Firms,Tier_4_Firms,Total_R&D_Investment,Total_Revenue,Active_Tier3_Projects,Active_Tier4_Projects,Market_Concentration_HHI,Knowledge_Network_Density,Average_Firm_Capital,Successful_Tier3_Innovations,Failed_Tier3_Projects,Innovation_Cliff_Indicator,Active_Policies,Government_Budget_Spent,Policy_Effectiveness_Score,Global_Efficiency_Factor,Current_Year,run_id,experiment,step,policy_effectiveness
20,0,0,0,0.0,0.0,0,0,0.0,0.21052631578947367,342.207269938912,0,0,0.0,1,0.0,0.0,1.0,0.0,0,policy_tax_credit,0,0.0
20,0,0,0,1.0332554288118333e-07,0.0,0,0,0.0,0.21052631578947367,342.20726993374575,0,0,0.0,1,0.0,0.0,0.9375,0.25,0,policy_tax_credit,1,0.0
20,0,0,0,1.0332554288118333e-07,0.0,0,0,0.0,0.21052631578947367,342.20726993374575,0,0,0.0,1,0.0,0.0,0.87890625,0.5,0,policy_tax_credit,2,0.0
20,0,0,0,1.0332554288118333e-07,0.0,0,0,0.0,0.21052631578947367,342.20726993374575,0,0,0.0,1,0.0,0.0,0.823974609375,0.75,0,policy_tax_credit,3,0.0
8,12,0,0,6.74977447957148e-07,3746.6446114046144,8,0,0.11811932842833128,0.21052631578947367,533.1277787817686,0,0,0.33333333333333337,1,0.0,0.0,0.7724761962890625,1.0,0,policy_tax_credit,4,0.0
8,12,0,0,6.74977447957148e-07,5473.260268250786,8,0,0.10239956358556468,0.21052631578947367,636.2794485830343,0,0,0.33333333333333337,1,0.0,0.0,0.7241964340209961,1.25,0,policy_tax_credit,5,0.0
8,12,0,0,6.74977447957148e-07,7199.875925096957,8,0,0.09674316600703985,0.21052631578947367,735.9334158941685,0,0,0.33333333333333337,1,0.0,0.0,0.6789341568946838,1.5,0,policy_tax_credit,6,0.0
1,19,0,0,8.442674010662036e-07,9544.4467129488,11,0,0.07877888299177467,0.21578947368421053,856.4125758149496,0,0,0.42105263157894735,1,0.0,0.0,0.6365007720887661,1.75,0,policy_tax_credit,7,0.0
1,19,0,0,8.442674010662036e-07,11536.330226208682,11,0,0.07104549919795164,0.21578947368421053,964.8346478840701,0,0,0.42105263157894735,1,0.0,0.0,0.5967194738332182,2.0,0,policy_tax_credit,8,0.0
1,19,0,0,8.442674010662036e-07,13528.213739468563,11,0,0.06653921630032979,0.21578947368421053,1065.8003674396389,0,0,0.42105263157894735,1,0.0,0.0,0.5594245067186421,2.25,0,policy_tax_credit,9,0.0
0,20,0,0,9.02865812088958e-07,15601.292366089829,12,0,0.06294317526334602,0.21578947368421053,1173.1579116704556,0,0,0.4,1,0.0,0.0,0.524460475048727,2.5,0,policy_tax_credit,10,0.0
0,20,0,0,9.02865812088958e-07,17611.815988752376,12,0,0.06061809351459624,0.21578947368421053,1283.05692895941,0,0,0.4,1,0.0,0.0,0.4916816953581815,2.75,0,policy_tax_credit,11,0.0
0,20,0,0,9.02865812088958e-07,19622.339611414922,12,0,0.058987326011083474,0.22105263157894736,1409.8454457923904,0,0,0.4,1,0.0,0.0,0.46095158939829517,3.0,0,policy_tax_credit,12,0.0
0,15,5,0,1.2711023459209795e-06,31917.777547888756,11,0,0.07680926372351439,0.22105263157894736,2030.9891302969256,5,0,0.2666666666666667,1,0.0,0.0,0.4321421150609017,3.25,0,policy_tax_credit,13,0.0
0,15,5,0,1.3595806493666427e-06,40044.07105490925,13,0,0.08393374891155385,0.23684210526315788,2445.38631299509,5,0,0.1333333333333333,1,0.0,0.0,0.40513323286959535,3.5,0,policy_tax_credit,14,0.0
0,15,5,0,1.3595806493666427e-06,48170.364561929746,13,0,0.08973622114170676,0.24210526315789474,2867.7270392162604,5,0,0.1333333333333333,1,0.0,0.0,0.37981240581524567,3.75,0,policy_tax_credit,15,0.0
0,14,6,0,1.4513911777023553e-06,56695.099278564645,12,0,0.09062151815985721,0.24210526315789474,3299.230160452689,6,0,0.1428571428571429,1,0.0,0.0,0.3560741304517928,4.0,0,policy_tax_credit,16,0.0
0,14,6,0,1.4513911777023553e-06,65281.16457390651,12,0,0.09180904513547714,0.24210526315789474,3729.6830349205347,6,0,0.1428571428571429,1,0.0,0.0,0.33381949729855576,4.25,0,policy_tax_credit,17,0.0
0,14,6,0,1.4513911777023553e-06,73867.22986924837,12,0,0.09309006466791452,0.24210526315789474,4168.241393213118,6,0,0.1428571428571429,1,0.0,0.0,0.312955778717396,4.5,0,policy_tax_credit,18,0.0
0,14,6,0,1.5099895887251098e-06,82453.29516459025,12,0,0.09433194227069107,0.24210526315789474,4605.169494102823,6,0,0.1428571428571429,1,0.0,0.0,0.29339604254755874,4.75,0,policy_tax_credit,19,0.0
0,14,6,0,1.5099895887251098e-06,91039.36045993211,12,0,0.09548741720393872,0.24210526315789474,5042.347344365642,6,0,0.1428571428571429,1,0.0,0.0,0.2750587898883363,5.0,0,policy_tax_credit,20,0.0
0,14,6,0,1.5099895887251098e-06,99625.42575527397,12,0,0.09654389811497875,0.24210526315789474,5484.745072951818,6,0,0.1428571428571429,1,0.0,0.0,0.10096459416829631,5.25,0,policy_tax_credit,21,0.0
0,13,7,0,1.8362287861273695e-06,108794.39504453461,11,0,0.0958984833813876,0.24210526315789474,5961.810051852754,7,0,0.15384615384615385,1,0.0,0.0,0.09465430703277779,5.5,0,policy_tax_credit,22,0.0
0,12,8,0,1.889940551966154e-06,118339.2286006667,10,0,0.09388961960715499,0.24210526315789474,6455.006416964259,8,0,0.16666666666666663,1,0.0,0.0,0.08873841284322917,5.75,0,policy_tax_credit,23,0.0
0,12,8,0,1.889940551966154e-06,127737.86528749095,10,0,0.09238236982180133,0.24736842105263157,6932.934076706966,8,0,0.16666666666666663,1,0.0,0.0,0.08319226204052735,6.0,0,policy_tax_credit,24,0.0
0,10,10,0,1.889940551966154e-06,137585.7912217637,8,0,0.09006004669879036,0.24736842105263157,7445.442639192719,10,0,0.19999999999999996,1,0.0,0.0,0.07799274566299438,6.25,0,policy_tax_credit,25,0.0
0,10,10,0,1.889940551966154e-06,146989.4980278196,8,0,0.08795456681443993,0.24736842105263157,7920.688022663479,10,0,0.19999999999999996,1,0.0,0.0,0.07311819905905724,6.5,0,policy_tax_credit,26,0.0
0,10,10,0,1.889940551966154e-06,156393.2048338755,8,0,0.08623199668338766,0.24736842105263157,8409.780843233215,10,0,0.19999999999999996,1,0.0,0.0,0.06854831161786616,6.75,0,policy_tax_credit,27,0.0
0,9,11,0,1.916567781684217e-06,166060.43447657934,8,0,0.08428635806863845,0.24736842105263157,8906.260808355331,11,0,0.11111111111111116,1,0.0,0.0,0.06426404214174952,7.0,0,policy_tax_credit,28,0.0
0,9,11,0,1.9404417259157702e-06,175544.2845511168,9,0,0.08265382976102921,0.24736842105263157,9389.938029754247,11,0,0.0,1,0.0,0.0,0.06024753950789018,7.25,0,policy_tax_credit,29,0.0
0,9,11,0,1.9404417259157702e-06,185028.13462565432,9,0,0.08126854020181921,0.24736842105263157,9871.904550539184,11,0,0.0,1,0.0,0.0,0.05648206828864704,7.5,0,policy_tax_credit,30,0.0
0,8,12,0,2.2235638373383085e-06,194935.65917215272,8,0,0.0797728123181914,0.24736842105263157,10370.699342826849,12,0,0.0,1,0.0,0.0,0.0529519390206066,7.75,0,policy_tax_credit,31,0.0
0,8,12,0,2.2772756031770933e-06,204497.63434623944,8,0,0.07844063531907935,0.24736842105263157,10854.052411327682,12,0,0.0,1,0.0,0.0,0.04964244283181869,8.0,0,policy_tax_credit,32,0.0
0,8,12,0,2.2772756031770933e-06,214059.60952032616,8,0,0.07728064019130461,0.24736842105263157,11336.14108140138,12,0,0.0,1,0.0,0.0,0.04653979015483002,8.25,0,policy_tax_credit,33,0.0
0,8,12,0,2.2772756031770933e-06,223621.5846944129,8,0,0.07626421118468849,0.24736842105263157,11818.31242013154,12,0,0.0,1,0.0,0.0,0.043631053270153146,8.5,0,policy_tax_credit,34,0.0
0,8,12,0,2.2772756031770933e-06,233183.5598684996,8,0,0.07536845316146314,0.25263157894736843,12306.746839138836,12,0,0.0,1,0.0,0.0,0.040904112440768574,8.75,0,policy_tax_credit,35,0.0
0,8,12,0,2.2772756031770933e-06,242745.53504258636,8,0,0.07457487060545959,0.2578947368421053,12788.549724438091,12,0,0.0,1,0.0,0.0,0.03834760541322054,9.0,0,policy_tax_credit,36,0.0
0,8,12,0,2.303902832895156e-06,252307.51021667308,8,0,0.07386838951440261,0.2631578947368421,13270.544075233041,12,0,0.0,1,0.0,0.0,0.035950880074894255,9.25,0,policy_tax_credit,37,0.0
0,7,13,0,2.303902832895156e-06,262024.2301217427,7,0,0.07299869280558388,0.2631578947368421,13769.967429263274,13,0,0.0,1,0.0,0.0,0.033703950070213366,9.5,0,policy_tax_credit,38,0.0
0,7,13,0,2.303902832895156e-06,271690.8910785267,7,0,0.0722185636939999,0.2631578947368421,14254.602307206256,13,0,0.0,1,0.0,0.0,0.031597453190825034,9.75,0,policy_tax_credit,39,0.0
0,5,15,0,2.4548178722813e-06,281405.55788789823,5,0,0.07126609835831599,0.2631578947368421,14759.15521280416,15,0,0.0,1,0.0,0.0,0.02962261236639847,10.0,0,policy_tax_credit,40,0.0
0,5,15,0,2.5085296381200846e-06,291042.86390469875,5,0,0.0703579989037217,0.2631578947368421,15247.911903815711,15,0,0.0,1,0.0,0.0,0.027771199093498566,10.25,0,policy_tax_credit,41,0.0
0,5,15,0,2.5085296381200846e-06,300680.1699214992,5,0,0.06953133926868547,0.26842105263157895,15740.905095961283,15,0,0.0,1,0.0,0.0,0.026035499150154906,10.5,0,policy_tax_credit,42,0.0
0,5,15,0,2.5085296381200846e-06,310317.4759382997,5,0,0.06877643492146833,0.26842105263157895,16228.318425448586,15,0,0.0,1,0.0,0.0,0.024408280453270224,10.75,0,policy_tax_credit,43,0.0
0,5,15,0,2.5085296381200846e-06,319954.7819551002,5,0,0.06808501318441591,0.26842105263157895,16726.04263170313,15,0,0.0,1,0.0,0.0,0.022882762924940837,11.0,0,policy_tax_credit,44,0.0
0,5,15,0,2.5085296381200846e-06,329592.0879719007,5,0,0.06744997204425535,0.26842105263157895,17218.725692207554,15,0,0.0,1,0.0,0.0,0.021452590242132034,11.25,0,policy_tax_credit,45,0.0
0,5,15,0,2.5351568678381474e-06,339229.39398870117,5,0,0.06686518583410661,0.26842105263157895,17707.366366357313,15,0,0.0,1,0.0,0.0,0.020111803351998782,11.5,0,policy_tax_credit,46,0.0
0,5,15,0,2.5351568678381474e-06,348866.7000055016,5,0,0.06632534764058073,0.26842105263157895,18190.968459495944,15,0,0.0,1,0.0,0.0,0.018854815642498857,11.75,0,policy_tax_credit,47,0.0
0,5,15,0,2.5351568678381474e-06,358504.00602230214,5,0,0.06582584069806324,0.26842105263157895,18683.479576125414,15,0,0.0,1,0.0,0.0,0.017676389664842678,12.0,0,policy_tax_credit,48,0.0
0,5,15,0,2.686071907224291e-06,368141.3120391026,5,0,0.06536263282150157,0.26842105263157895,19185.37855093321,15,0,0.0,1,0.0,0.0,0.01657161531079001,12.25,0,policy_tax_credit,49,0.0
0,4,16,0,2.686071907224291e-06,378033.48893201957,4,0,0.06484396094730366,0.26842105263157895,19684.546439954043,16,0,0.0,1,0.0,0.0,0.015535889353865634,12.5,0,policy_tax_credit,50,0.0
0,4,16,0,2.686071907224291e-06,387755.2432596763,4,0,0.06435645744694905,0.2736842105263158,20183.872917791705,16,0,0.0,1,0.0,0.0,0.014564896269249032,12.75,0,policy_tax_credit,51,0.0
0,4,16,0,2.686071907224291e-06,397476.997587333,4,0,0.06390298916106806,0.2789473684210526,20677.935077925635,16,0,0.0,1,0.0,0.0,0.013654590252420967,13.0,0,policy_tax_credit,52,0.0
0,4,16,0,2.686071907224291e-06,407198.7519149897,4,0,0.06348040607165316,0.2789473684210526,21168.158633249695,16,0,0.0,1,0.0,0.0,0.012801178361644657,13.25,0,policy_tax_credit,53,0.0
